17.1846,44.2054,58.1915,22.6217
16.5973,18.1867,60.2509,54.9852
16.5698,18.4015,60.3506,54.3434
16.6979,19.3186,59.8879,51.7636
16.6651,18.638,60.0055,53.6538
16.6494,18.5553,60.0624,53.893
16.7292,19.0402,59.7757,52.5205
16.5835,18.5963,60.3008,53.7741
16.6981,19.2982,59.887,51.8183
16.633,18.7225,60.1216,53.4117
16.6753,18.1784,59.969,55.0103
16.6563,18.4701,60.0375,54.1416
16.6749,18.0397,59.9705,55.4333
16.6522,18.5175,60.0523,54.003
16.6688,17.7443,59.9923,56.3561
16.6672,17.9149,59.998,55.8195
16.668,18.4596,59.9952,54.1724
16.67,18.7868,59.9878,53.2289
16.6712,17.86,59.9836,55.991
16.6561,19.0444,60.038,52.5089
16.7028,18.4326,59.8701,54.2517
16.6268,18.4362,60.1437,54.2411
16.6724,18.3319,59.9794,54.5497
16.6749,17.7251,59.9704,56.4172
16.6688,18.2965,59.9922,54.6553
